track_name,artist.s._name,artist_count,released_year,released_month,in_spotify_playlists,in_spotify_charts,streams,danceability_.,valence_.,liveness_.
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,993,4,267789608,74,79,30
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,9161,5,1221813483,65,63,10
Something in the Orange,Zach Bryan,1,2022,4,3282,12,449701773,59,22,12
VOID,Melanie Martinez,1,2023,3,596,0,67070410,72,42,19
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,320,6,116334601,70,76,11
Midnight Rain,Taylor Swift,1,2022,10,2612,4,433356509,64,18,12
If We Ever Broke Up,Mae Stephens,1,2023,2,2040,4,165584767,90,96,9
You Proof,Morgan Wallen,1,2022,5,2128,9,367814306,73,64,61
LA INOCENTE,"Feid, Mora",2,2022,4,2598,37,477033549,76,46,7
Malas Decisiones,Kenia OS,1,2022,10,542,2,156214700,81,64,31
Murder In My Mind,Kordhell,1,2022,1,2459,20,448843705,71,57,13
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,10624,17,1357608774,63,40,56
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,2418,26,294352144,95,43,9
I Love You So,The Walters,1,2014,11,7536,7,972164968,58,46,13
Dark Red,Steve Lacy,1,2017,2,10431,7,920045682,60,77,12
Say You Won't Let Go,James Arthur,1,2016,9,15722,16,2420461338,40,45,9
The Hills,The Weeknd,1,2015,5,25744,4,1947371785,36,12,14
Heart To Heart,Mac DeMarco,1,2019,5,1640,0,244658767,90,64,11
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,34,0,68216992,71,41,10
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,1845,16,223582566,77,72,7
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,3301,30,471819764,83,58,10
Low,SZA,1,2022,12,1911,0,272377463,70,34,16
Numb,Linkin Park,1,2003,3,20111,5,1361425037,50,24,64
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,1529,0,149778242,64,30,38
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,615,2,116599790,68,81,9
One Thing At A Time,Morgan Wallen,1,2022,12,811,4,148469433,61,92,26
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5730,10,497225336,59,20,15
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,356,4,88791109,64,67,36
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,604,6,125917280,66,43,12
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,1190,0,105062254,84,44,11
Everything I Love,Morgan Wallen,1,2023,1,579,0,95623148,56,72,15
Heaven,Niall Horan,1,2023,2,1553,2,144584800,57,68,33
LET GO,Central Cee,1,2022,12,2301,20,298063749,74,51,21
Sial,Mahalini,1,2023,1,134,4,166570053,56,20,12
I Wrote The Book,Morgan Wallen,1,2023,1,430,0,83021468,68,83,8
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,86,0,139836056,59,44,6
SPIT IN MY FACE!,ThxSoMch,1,2022,10,629,14,303216294,73,65,11
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,1701,15,221409663,79,66,11
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,329,0,58890931,50,49,12
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,1168,0,81419389,70,29,11
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,162,6,156777415,58,26,10
Nobody Gets Me,SZA,1,2022,12,2536,6,284908316,36,28,18
PERO Tï¿,"Karol G, Quevedo",2,2023,2,387,11,93438910,86,68,11
Hype Boy,NewJeans,1,2022,8,892,17,363472647,59,78,29
Bloody Mary,Lady Gaga,1,2011,1,3909,0,372476382,59,49,13
Monotonï¿½,"Ozuna, Shakira",2,2022,10,3645,15,380726517,87,82,21
ýýý98 Braves,Morgan Wallen,1,2023,3,282,0,56533272,49,48,26
WANDA,Quevedo,1,2023,1,888,22,175399345,72,96,21
Thought You Should Know,Morgan Wallen,1,2022,5,968,4,203221468,53,51,14
In The End,Linkin Park,1,2000,10,25065,6,1624165576,55,40,32
Zona De Perigo,Leo Santana,1,2022,12,531,4,134294498,81,97,35
Lovezinho,Treyce,1,2022,7,242,0,70069745,82,61,12
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,5281,14,609293408,74,43,12
Neverita,Bad Bunny,1,2022,5,2590,30,671365962,88,43,14
Vista Al Mar,Quevedo,1,2022,9,1769,34,362361576,76,49,10
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,454,4,93587665,53,40,11
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,6180,7,1223481149,72,59,42
Revenge,XXXTENTACION,1,2017,8,3600,11,1022258230,75,18,11
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,1254,6,263453310,65,72,92
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,6398,31,1435127549,75,43,11
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,660,15,236857112,73,88,5
Love Again,The Kid Laroi,1,2023,1,1283,0,147538971,66,47,11
After Hours,The Weeknd,1,2020,2,8084,6,698086140,66,16,12
About Damn Time,Lizzo,1,2022,7,2332,2,723894473,84,72,34
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,203,0,34450974,53,61,36
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,685,14,403097450,60,52,19
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,2460,13,309483971,74,64,10
Maan Meri Jaan,King,1,2022,10,288,6,319566866,70,40,10
Moscow Mule,Bad Bunny,1,2022,5,4572,33,909001996,80,29,12
My Universe,"Coldplay, BTS",2,2021,9,6127,13,1061966512,58,42,14
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,166,0,32526947,53,32,9
LLYLM,ROSALï¿½,1,2023,1,1838,0,124988687,56,56,19
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,1890,0,103787664,70,84,41
TRUSTFALL,P!nk,1,2023,1,2098,16,134255790,64,25,15
ANTIFRAGILE,LE SSERAFIM,1,2022,10,761,12,301051721,88,82,11
Boy's a liar,PinkPantheress,1,2022,11,1225,0,156338624,66,74,21
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,415,2,152850295,79,60,26
Shirt,SZA,1,2022,10,3469,0,309653982,82,55,9
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,3311,0,297328960,25,17,13
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,2616,0,332506354,64,31,9
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,3006,16,480507035,57,47,52
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,4260,0,1065580332,65,80,19
"Hey, Mickey!",Baby Tate,1,2016,9,482,0,122763672,92,73,15
Calm Down,Rï¿½ï,1,2022,2,4013,10,445763624,81,82,12
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,138,4,1365184,82,62,33
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,1368,0,184308753,44,38,9
Space Song,Beach House,1,2015,1,17852,4,789753877,51,62,14
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,889,20,323358833,71,34,44
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,4796,9,606361689,70,57,8
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,658,6,120972253,68,83,31
TV,Billie Eilish,1,2022,7,3009,2,338564981,41,9,14
I'm Not The Only One,Sam Smith,1,2014,1,17492,3,1606986953,68,50,8
Heather,Conan Gray,1,2020,3,6170,7,1301799902,47,25,32
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,130,4,140187018,77,65,15
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,27705,10,1897517891,79,59,8
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,359,0,107642809,71,83,17
Pink Venom,BLACKPINK,1,2022,8,1963,16,551305895,80,71,27
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,5491,14,556585270,46,34,7
Don't Start Now,Dua Lipa,1,2019,10,27119,0,2303033973,79,68,10
After Dark,Mr.Kitty,1,2014,8,1776,14,646886885,58,4,8
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,1473,4,222612678,64,61,72
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,13315,0,1814349763,74,89,5
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,4057,8,872137015,41,9,12
Atlantis,Seafret,1,2015,4,3045,6,571386359,40,23,12
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,3006,12,304079786,87,20,31
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,852,0,174006928,87,52,28
How Do I Say Goodbye,Dean Lewis,1,2022,8,2163,15,284785823,40,39,7
Blind,SZA,1,2022,12,1484,0,163284000,46,60,21
Die For You,Joji,1,2022,11,1703,0,246390068,47,15,29
Doja,Central Cee,1,2022,7,4169,44,482257456,91,97,40
Gatita,Bellakath,1,2022,10,1054,0,168684524,90,76,33
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,2849,0,78489819,81,6,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,1602,0,195516622,49,24,18
Yonaguni,Bad Bunny,1,2021,6,9644,28,1260594497,64,44,14
Super Freaky Girl,Nicki Minaj,1,2022,8,4827,0,428685680,95,91,31
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,21811,0,1024858327,63,20,6
Dream On,Aerosmith,1,1973,1,168,0,838586769,39,24,23
Limbo,Freddie Dredd,1,2022,8,688,0,199386237,80,46,11
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,10565,44,972509632,67,26,17
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,1612,0,213438580,58,17,20
Bad Habits,Ed Sheeran,1,2020,9,12755,8,1555511105,81,59,36
KICK BACK,Kenshi Yonezu,1,2022,10,574,4,210038833,58,29,9
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,2499,0,227918678,70,31,11
Good Days,SZA,1,2020,12,10426,2,826623384,46,53,72
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,15894,8,1802514301,70,92,7
Woman,Doja Cat,1,2021,6,9424,0,1329090101,82,88,12
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,713,7,181831132,65,36,12
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,7758,28,462791599,84,70,5
"You're On Your Own, Kid",Taylor Swift,1,2022,10,2537,2,348647203,69,40,13
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,292,6,366599607,58,44,10
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,1,323,0,90598517,65,49,7
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,14143,4,1479264469,74,51,29
All I Want for Christmas Is You,Mariah Carey,1,1994,10,25653,0,1449779435,34,33,7
Last Christmas,Wham!,1,1984,1,22153,0,1159176109,74,88,46
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,14994,0,769213520,70,85,45
Jingle Bell Rock,Bobby Helms,1,1957,1,10326,0,741301563,74,78,6
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,12353,0,807561936,35,38,29
Santa Tell Me,Ariana Grande,1,2013,12,9408,0,834129063,46,53,30
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,8879,0,663832097,24,76,12
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,6512,0,446390129,45,72,18
Snowman,Sia,1,2017,1,5140,0,690104769,72,33,9
Underneath the Tree,Kelly Clarkson,1,2013,10,6596,0,485285717,51,69,21
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,3788,0,520034544,50,96,34
Holly Jolly Christmas,Michael Bublï¿,1,2011,10,7655,0,476244795,65,70,9
Mistletoe,Justin Bieber,1,2011,1,9577,0,629173063,67,88,9
Sleigh Ride,The Ronettes,1,1963,11,10114,0,404664135,53,84,32
Seek & Destroy,SZA,1,2022,12,1007,0,98709329,65,35,21
Love Language,SZA,1,2022,12,1127,0,110849052,71,55,13
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,10829,0,460492795,33,39,77
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,1042,0,94005786,73,71,32
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,7930,0,395591396,67,81,15
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,11500,0,389771964,36,22,11
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,1685,0,403939487,75,74,9
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,14169,0,481697415,60,23,27
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,1634,0,110073250,62,59,11
Special,SZA,1,2022,12,906,0,88092256,60,19,11
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1087,0,351636786,72,91,13
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,10585,0,473248298,60,86,34
SOS,SZA,1,2022,12,827,0,73981293,51,51,9
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,1420,4,155653938,67,22,15
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,11940,0,395591396,23,19,40
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,888,0,429504768,51,87,18
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,9122,0,242767149,34,35,8
Gone Girl,SZA,1,2022,12,892,0,65362788,43,42,15
F2F,SZA,1,2022,12,989,0,67540165,53,47,34
Notice Me,SZA,1,2022,12,819,0,62019074,72,78,11
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,2209,0,135723538,59,60,10
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,6290,0,295998468,73,72,15
My Only Wish (This Year),Britney Spears,1,2000,11,6952,0,261116938,67,69,19
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,313,2,136689549,70,92,10
Wild Flower (with youjeen),RM,1,2022,12,353,2,135611421,49,42,12
I Hate U,SZA,1,2021,12,4094,0,356709897,54,41,11
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,880,0,110649992,80,15,38
SPIT IN MY FACE!,ThxSoMch,1,2022,10,573,0,301869854,70,57,11
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,3299,0,127027715,69,96,8
Smoking on my Ex Pack,SZA,1,2022,12,811,0,57144458,47,33,22
Conceited,SZA,1,2022,12,899,0,56870689,79,77,11
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,2415,0,323437194,66,19,12
Maroon,Taylor Swift,1,2022,10,2304,0,317726339,64,4,10
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,1003,0,116144341,89,48,7
Bejeweled,Taylor Swift,1,2022,10,2699,0,328207708,70,39,9
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,2482,20,608228647,80,42,66
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,2577,0,180577478,63,93,12
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,6821,34,809306935,87,51,9
Too Late,SZA,1,2022,12,714,0,49262961,45,35,39
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,3185,4,614555082,83,47,24
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,8612,0,245350949,69,94,7
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,4326,0,178660459,51,94,10
Far,SZA,1,2022,12,680,0,51641685,61,48,16
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,398,0,78139948,33,51,44
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,3328,13,322336177,63,34,21
ýýýabcdefu,Gayle,1,2021,8,7215,0,1007612429,70,42,37
Sacrifice,The Weeknd,1,2022,1,4440,0,326792833,70,91,7
Is There Someone Else?,The Weeknd,1,2022,1,2881,6,391251368,70,60,16
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,2235,0,349585590,60,45,31
Out of Time,The Weeknd,1,2022,1,3711,0,339659802,65,82,32
Do It To It,"Cherish, ACRAZE",2,2021,8,12403,0,674772936,85,64,7
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,2785,0,432719968,58,83,11
Pepas,Farruko,1,2021,6,14114,17,1309887447,76,44,13
How Do I Make You Love Me?,The Weeknd,1,2022,1,1915,0,119238316,80,62,9
Gasoline,The Weeknd,1,2022,1,2297,0,116903579,74,35,21
Infinity,Jaymes Young,1,2017,6,4375,0,888046992,67,50,30
Less Than Zero,The Weeknd,1,2022,1,2800,0,200660871,53,50,8
Take My Breath,The Weeknd,1,2021,8,2597,0,130655803,70,35,26
good 4 u,Olivia Rodrigo,1,2021,5,15563,6,1887039593,56,68,11
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,1420,0,88103848,41,27,60
Best Friends,The Weeknd,1,2022,1,1292,0,101114984,49,49,35
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,15867,0,1575467011,77,74,13
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,1178,0,91656026,75,85,31
Need To Know,Doja Cat,1,2021,6,6672,0,1042568408,66,19,9
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,12329,0,1735441776,61,76,38
love nwantiti (ah ah ah),Ckay,1,2019,7,5669,2,726837877,74,53,13
Dawn FM,The Weeknd,1,2022,1,811,0,53933526,27,10,49
Surface Pressure,Jessica Darrow,1,2021,11,1756,0,267758538,65,37,4
Starry Eyes,The Weeknd,1,2022,1,1014,0,74601456,28,13,19
THATS WHAT I WANT,Lil Nas X,1,2021,9,7963,0,920797189,74,55,5
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,4771,0,539595276,68,72,7
Beggin,Mï¿½ï¿½ne,1,2017,12,8559,0,1367810478,71,59,36
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,3221,2,578207856,75,36,10
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,3423,26,775542072,64,14,9
MONEY,Lisa,1,2021,9,2566,13,863625566,83,40,14
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,9151,6,656013912,75,46,9
Happier Than Ever,Billie Eilish,1,2021,7,8476,0,1056760045,31,31,14
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,7495,17,611994237,56,16,11
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,5257,6,1230855859,29,12,12
Toxic,BoyWithUke,1,2021,9,1795,0,582981380,59,69,46
drivers license,Olivia Rodrigo,1,2021,1,12685,3,1858144199,59,21,10
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,648,1,240684449,82,52,14
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,4635,5,583687007,63,21,9
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,1184,0,63803529,77,25,23
Oh My God,Adele,1,2021,11,4431,0,466214729,53,55,3
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,759,3,236940480,70,61,37
A Tale By Quincy,The Weeknd,1,2022,1,733,0,41924466,46,55,10
I AM WOMAN,Emmy Meli,1,2021,11,2795,0,225259194,65,46,13
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,2780,2,393230256,79,79,66
It'll Be Okay,Shawn Mendes,1,2021,12,1950,0,287201015,40,7,9
Softcore,The Neighbourhood,1,2018,3,3947,12,599770206,57,36,15
Super Gremlin,Kodak Black,1,2021,10,2551,0,342779426,83,11,36
Volvï¿,"Aventura, Bad Bunny",2,2021,8,5375,10,673801126,73,79,7
Todo De Ti,Rauw Alejandro,1,2020,11,11975,8,1168642797,81,57,10
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,2696,0,540539717,58,44,5
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,4963,0,383550148,63,85,35
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,6734,0,530511203,77,40,9
Every Angel is Terrifying,The Weeknd,1,2022,1,715,0,37307967,44,52,4
Tacones Rojos,Sebastian Yatra,1,2021,10,3047,9,510876816,75,93,14
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,14140,0,1445941661,63,49,42
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,11215,21,1763363713,73,14,11
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,1678,12,374191487,66,76,10
Lï¿½ï¿½ï¿,Stromae,1,2022,1,2035,0,108809090,56,58,23
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,2780,2,436695353,73,60,24
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,4091,0,421040617,72,67,14
Life Goes On,Oliver Tree,1,2020,7,2868,0,501541661,70,57,12
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,3643,0,354065229,86,31,11
Butter,BTS,1,2021,5,4779,6,1143647827,79,70,6
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,3517,0,311395144,77,49,13
You Right,"Doja Cat, The Weeknd",2,2021,6,5073,0,672656250,83,44,8
deja vu,Olivia Rodrigo,1,2021,4,7545,4,1256880657,44,22,42
Dynamite,BTS,1,2020,8,8528,5,1692897992,75,74,9
TO THE MOON,Jnr Choi,1,2021,11,2979,0,245095641,74,39,11
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,7731,2,686734357,66,18,12
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,1057,0,261414174,67,78,12
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,3272,19,610045621,66,63,11
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,14417,0,1115880852,59,72,9
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,5199,0,594482982,85,22,7
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,6026,0,566954746,77,51,26
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,53,75,17
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,4640,3,374706940,77,82,13
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,1150,0,184937148,59,56,6
Phantom Regret by Jim,The Weeknd,1,2022,1,768,0,31959571,46,23,14
Dos Oruguitas,Sebastian Yatra,1,2021,11,925,0,167076418,42,47,9
Freaks,Surf Curse,1,2015,5,3006,3,824420218,35,41,5
Acapulco,Jason Derulo,1,2021,9,3098,0,363467642,77,51,16
Daddy Issues,The Neighbourhood,1,2015,10,9771,4,1127468248,59,33,12
thought i was playing,"21 Savage, Gunna",2,2022,1,807,0,60680939,68,29,7
ELEVEN,IVE,1,2021,12,521,1,247737946,83,59,5
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,12854,0,1699402402,70,76,27
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,802,0,154797871,72,54,10
DANCE CRIP,Trueno,1,2021,11,731,0,198883004,86,86,8
Miserable Man,David Kushner,1,2022,1,788,0,124407432,63,31,29
happier,Olivia Rodrigo,1,2021,5,3069,4,850608354,39,36,8
Praise God,Kanye West,1,2021,8,4651,0,376333030,80,21,26
Get Into It (Yuh),Doja Cat,1,2021,6,4999,0,516784627,91,79,9
Before You Go,Lewis Capaldi,1,2019,11,8327,24,1608045237,45,19,9
Sky,Playboi Carti,1,2020,12,3297,3,506778838,79,56,13
Rolling in the Deep,Adele,1,2010,11,35684,6,1472799873,73,52,5
Sobrio,Maluma,1,2021,7,3506,10,513643924,76,63,15
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,2999,0,261286503,96,71,8
favorite crime,Olivia Rodrigo,1,2021,5,3681,0,783706581,40,19,34
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,4846,10,422691058,67,40,34
The Business,Tiï¿½ï¿,1,2020,1,14311,0,1062345656,80,24,11
positions,Ariana Grande,1,2020,10,8207,0,1252563873,73,66,9
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,4873,0,851070493,75,96,18
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,772,0,263894529,46,62,97
The Feels,TWICE,1,2021,10,1150,0,345903614,81,92,8
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,5398,4,951637566,61,59,13
No Lie,"Sean Paul, Dua Lipa",2,2016,11,7370,0,956865266,74,45,26
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,6890,0,427486004,79,79,5
Pope Is a Rockstar,SALES,1,2016,4,1966,0,156658366,73,31,11
2055,Sleepy hallow,1,2021,4,2226,0,624515457,78,65,12
Bored,Billie Eilish,1,2017,3,4204,0,777765388,60,11,8
Happier Than Ever - Edit,Billie Eilish,1,2021,7,1959,0,412795151,45,12,23
Astronaut In The Ocean,Masked Wolf,1,2019,1,7191,0,1138474110,78,47,15
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2012,0,355219175,76,58,13
Every Summertime,NIKI,1,2021,8,1211,2,290228626,63,76,6
Talking To The Moon,Bruno Mars,1,2010,10,7109,2,1062956628,52,7,11
you broke me first,Tate McRae,1,2020,4,6638,0,1180094974,64,8,9
The Nights,Avicii,1,2014,1,17354,8,1456081449,53,66,24
Take My Breath,The Weeknd,1,2021,8,6392,0,432702334,75,53,11
